31
  2.5  0.215
  2.75  0.196
  3.  0.142
  3.25  0.086
  3.5  0.042
  3.75  0.013
  4. -0.005
  4.25 -0.014
  4.5 -0.019
  4.75 -0.0188176494
  5. -0.016
  5.25 -0.0137725021
  5.5 -0.012
  5.75 -0.00991103356
  6. -0.00754952926
  6.25 -0.00516326033
  6.5 -0.003
  6.75 -0.00155616423
  7. -0.000807215709
  7.25 -0.000418720072
  7.5 -0.000217199067
  7.75 -0.000112665807
  8. -5.84421662E-05
  8.25 -3.0315203E-05
  8.5 -1.57251449E-05
  8.75 -8.15696935E-06
  9. -4.23119465E-06
  9.25 -2.19481126E-06
  9.5 -1.1384956E-06
  9.75 -5.90562043E-07
  10. -3.06337177E-07
