31
  2.5 -0.173
  2.75 -0.018467488
  3.  0.042
  3.25  0.042
  3.5  0.024
  3.75  0.006
  4. -0.008
  4.25 -0.013
  4.5 -0.017
  4.75 -0.0182670669
  5. -0.0175
  5.25 -0.0164781093
  5.5 -0.015
  5.75 -0.0125629455
  6. -0.00943959697
  6.25 -0.00609644994
  6.5 -0.003
  6.75 -0.00117282026
  7. -0.000458502458
  7.25 -0.000179246991
  7.5 -7.00748345E-05
  7.75 -2.7395062E-05
  8. -1.07098279E-05
  8.25 -4.18690108E-06
  8.5 -1.63682748E-06
  8.75 -6.39901479E-07
  9. -2.5016314E-07
  9.25 -9.77988002E-08
  9.5 -3.82334716E-08
  9.75 -1.49469967E-08
  10. -5.84338023E-09
